x,y,z,class
"[-8.7867584, -9.414384, -8.9436648, -9.8851032, -8.7475318, -9.6497436, -9.3359308, -9.2967042, -10.0420096, -9.9635564, -9.6497436, -9.4536106, -9.1397978, -9.0613446, -9.2574776, -10.002783, -9.022118, -10.0812362, -8.825985, -10.1596894]","[0.1176798, -0.2745862, 1.0591182, 0.4707192, 0.3530394, 0.2745862, 0.1569064, 0.392266, 0.588399, 0.5099458, 0.4707192, 0.392266, -0.196133, -0.9022118, 1.3337044, 0.5099458, -0.0784532, -0.5099458, 0.980665, 0.980665]","[1.8044236, 3.1773546, 1.2944778, 1.8436502, 2.549729, 2.3143694, 2.4712758, 1.9221034, 2.0005566, 2.5889556, 2.3928226, 2.5105024, 1.5298374, 2.0790098, 2.0790098, 2.2751428, 1.96133, 2.4712758, 1.8828768, 2.3143694]",7
"[-8.7083052, -8.9828914, -10.9442214, -10.7480884, -8.629852, -9.80665, -10.2773692, -11.179581, -5.9232166, -8.5906254, -10.4342756, -8.3160392, -8.9044382, -8.9828914, -10.787315, -8.9436648, -10.3558224, -9.7674234, -8.629852, -8.5513988]","[-0.1176798, -0.4707192, 0.7453054, 0.6668522, 0.1569064, 0.784532, 0.784532, 0.2353596, 0.4314926, -0.1569064, 0.3138128, 0.392266, 0.8237586, 0.1176798, -0.4314926, 0.0, 0.0, 0.3138128, 0.6276256, -0.6276256]","[2.8243152, 2.4712758, 2.157463, 1.8436502, 2.8635418, 2.4320492, 1.8436502, 1.4906108, 2.7850886, 2.157463, 2.4320492, 2.0005566, 1.9221034, 1.8044236, 2.5105024, 2.4712758, 2.941995, 1.6082906, 1.4906108, 2.549729]",7
"[-9.9635564, -10.002783, -9.4928372, -9.3359308, -9.4536106, -9.610517, -9.80665, -9.0613446, -10.4735022, -8.6690786, -9.610517, -8.9828914, -10.4342756, -10.4342756, -9.8458766, -10.198916, -10.7088618, -9.3359308, -9.4928372, -9.7281968]","[0.0784532, 1.7259704, 0.980665, -0.5491724, -0.5099458, 1.372931, 1.4906108, 0.4707192, 0.7453054, 1.96133, -0.7060788, 0.2745862, 1.0983448, 0.980665, -0.0784532, -1.9221034, -0.4707192, 0.1569064, 0.5099458, -0.1176798]","[2.4712758, 1.372931, 1.176798, 2.8243152, 2.2751428, 1.5298374, 0.7453054, 2.6674088, 1.8828768, 1.6082906, 3.2558078, 2.6674088, 1.6867438, 2.3143694, 1.765197, 3.6480738, 1.9221034, 2.1182364, 2.8243152, 3.2950344]",7
"[-8.7083052, -8.629852, -9.4536106, -7.3353742, -8.5513988, -10.395049, -10.198916, -9.0613446, -9.3359308, -10.3558224, -9.7674234, -9.80665, -9.3359308, -9.2574776, -9.1397978, -9.6497436, -9.2967042, -9.7281968, -8.3944924, -10.1596894]","[0.7060788, 0.3138128, -0.1569064, 0.5099458, 0.0784532, 0.2353596, 0.1569064, 0.4707192, 0.3530394, 1.0198916, 0.2353596, 0.0784532, 0.7060788, -0.5099458, -1.0983448, 1.8436502, 0.7060788, -0.7060788, -0.3138128, 0.4707192]","[0.8629852, 1.6475172, 3.2950344, 3.0596748, 1.7259704, 2.4320492, 3.0596748, 2.3143694, 1.9221034, 2.2359162, 2.6674088, 2.3928226, 1.96133, 2.0397832, 2.4712758, 2.1966896, 2.3143694, 2.1966896, 2.6281822, 1.8828768]",7
"[-9.2574776, -9.8458766, -9.414384, -10.002783, -9.6889702, -8.8652116, -9.1005712, -9.3359308, -11.179581, -8.2768126, -8.1983594, -10.7088618, -8.5906254, -8.6690786, -10.5127288, -10.1204628, -9.7674234, -9.4928372, -8.5906254, -9.5320638]","[0.1176798, -1.4906108, 0.4707192, 0.3138128, 0.7453054, 0.0392266, -0.4707192, 0.588399, 0.0784532, 0.0, 0.3138128, 0.2353596, 0.7060788, 0.7453054, 0.196133, 0.6668522, -0.1569064, 0.0392266, 0.1569064, 1.372931]","[2.3143694, 2.0790098, 2.353596, 2.4320492, 1.569064, 2.4320492, 2.9812216, 2.157463, 2.0397832, 2.6674088, 1.1375714, 2.4320492, 1.8828768, 2.549729, 2.4320492, 2.0005566, 2.745862, 2.7850886, 2.2359162, 0.3138128]",7
"[-9.3359308, -10.0420096, -9.9635564, -9.6889702, -8.7867584, -9.8851032, -9.9243298, -10.591182, -7.6099604, -9.8458766, -9.2967042, -9.2574776, -9.1790244, -10.591182, -9.6497436, -9.6889702, -8.4729456, -11.4541672, -8.3552658, -9.218251]","[-0.784532, -0.1176798, 1.4513842, 1.1375714, -0.2745862, -0.7453054, 1.372931, 0.392266, -0.4707192, -0.2353596, 1.1375714, -0.392266, 0.0784532, 0.980665, 0.9022118, -0.0392266, 0.0, 2.0790098, -0.3530394, 0.0392266]","[3.0596748, 2.9027684, 1.3337044, 2.0790098, 3.0204482, 2.9812216, 1.2552512, 1.569064, 2.2751428, 1.8436502, 1.6082906, 2.8243152, 2.549729, 1.6475172, 1.6475172, 2.6281822, 2.6674088, 0.1569064, 2.3143694, 2.1966896]",7
"[-9.5320638, -9.8851032, -8.6690786, -9.7281968, -7.2176944, -9.5320638, -9.6497436, -9.6889702, -10.1596894, -10.002783, -8.433719, -9.7674234, -9.3359308, -9.414384, -9.4928372, -9.7281968, -9.3751574, -9.4928372, -9.218251, -9.6889702]","[0.2353596, 0.0, 0.1176798, -0.196133, 0.4707192, 0.0784532, 1.2160246, 0.5491724, 0.2745862, 0.2353596, 1.176798, 0.3530394, 0.392266, 0.2353596, -0.784532, 0.0, 0.6276256, 0.9414384, -0.7453054, -0.8237586]","[2.4712758, 1.6082906, 1.96133, 2.941995, 2.941995, 1.2552512, 1.9221034, 2.1182364, 2.3143694, 2.0790098, 2.1966896, 2.5105024, 2.1966896, 2.0397832, 2.8243152, 2.549729, 2.2359162, 1.8436502, 2.5105024, 2.353596]",7
"[-9.2967042, -9.0613446, -9.610517, -8.0806796, -10.2773692, -9.7674234, -9.414384, -6.6292954, -10.1596894, -8.1199062, -9.610517, -7.3746008, -10.591182, -7.8060934, -9.2574776, -11.2188076, -10.4342756, -9.4536106, -9.3751574, -9.2967042]","[0.9022118, 0.6276256, -0.7453054, -0.3138128, -0.3530394, 0.7453054, 0.2745862, -0.196133, -0.3138128, 0.5491724, 0.5099458, -0.3530394, 0.1569064, 0.588399, 0.2353596, 0.0, 0.7453054, -0.3530394, 0.2353596, 0.196133]","[2.2751428, 2.0397832, 2.2359162, 2.4712758, 2.2751428, 1.96133, 2.2359162, 2.9812216, 2.8243152, 2.0790098, 2.0397832, 3.0204482, 2.4712758, 2.0005566, 2.3928226, 2.549729, 1.569064, 2.8243152, 2.7066354, 1.8044236]",7
"[-8.7475318, -9.610517, -9.0613446, -9.9635564, -8.7867584, -9.4536106, -9.3359308, -9.9635564, -10.6696352, -9.5712904, -9.7674234, -9.3359308, -9.610517, -9.1397978, -9.8458766, -8.4729456, -9.022118, -9.0613446, -8.7475318, -9.3359308]","[0.8237586, -0.980665, 0.1569064, 1.569064, 1.176798, -0.588399, -0.1176798, 1.7259704, 0.6668522, -0.5491724, 0.980665, 1.4121576, 0.1569064, -0.9414384, -0.196133, 1.2944778, 0.7060788, -0.8237586, -0.2745862, -0.196133]","[2.0397832, 3.0204482, 2.353596, 1.7259704, 2.353596, 2.745862, 2.549729, 1.372931, 0.980665, 2.745862, 2.3143694, 2.0790098, 1.7259704, 2.941995, 2.2359162, 1.8828768, 2.0790098, 2.8635418, 2.2359162, 1.2552512]",7
"[-8.7083052, -9.4928372, -8.825985, -9.9243298, -8.041453, -9.8851032, -9.9635564, -11.3364874, -9.8458766, -8.1199062, -8.8652116, -8.9436648, -9.1397978, -9.6497436, -9.7281968, -10.1204628, -9.8458766, -10.1204628, -10.2381426, -9.80665]","[0.4314926, 0.4314926, 0.3138128, 0.2353596, 0.6276256, 0.3530394, 0.5099458, 0.0, -0.0392266, 0.2353596, 0.1176798, 0.1176798, 0.1569064, 0.5491724, 0.4314926, 0.1176798, -0.588399, -0.4707192, 1.2160246, 0.392266]","[2.6281822, 2.6674088, 2.0790098, 1.372931, 2.7850886, 2.5889556, 2.0005566, 0.5099458, 3.530394, 3.4127142, 1.1375714, 1.96133, 3.138128, 2.549729, 1.6475172, 2.0397832, 2.5889556, 2.5105024, 2.0397832, 2.0790098]",7
